Designator,Mid X,Mid Y,Rotation,Layer
K_60,200.6,-97.45,0.0,top
K_61,200.5975,-105.545,0.0,top
K_62,200.6,-121.75,0.0,top
K_63,204.85,-79.25,0.0,top
K_64,209.1,-89.35,0.0,top
K_65,209.1,-97.45,0.0,top
K_66,209.1,-105.55,0.0,top
K_67,204.85,-113.65,0.0,top
K_68,209.1,-121.75,0.0,top
K_7,124.1,-89.35,0.0,top
K_8,124.1,-97.45,0.0,top
K_9,124.1,-105.55,0.0,top
Q1,115.5875,-89.75,90.0,bottom
R1,128.055004,-84.987495,90.0,bottom
R10,188.27,-99.095,90.0,bottom
R11,137.265,-99.035,90.0,bottom
R12,187.795,-84.22,0.0,bottom
R13,137.28,-115.3,90.0,bottom
R14,171.315,-114.97,90.0,bottom
R15,153.8,-84.21,0.0,bottom
R16,171.33,-99.11,90.0,bottom
R17,154.275,-99.075,90.0,bottom
R18,170.815,-84.185,0.0,bottom
R19,154.285,-115.3,90.0,bottom
R2,209.12,-93.42,0.0,bottom
R3,115.775,-82.41,270.0,bottom
R4,205.285,-99.02,90.0,bottom
R5,120.29,-99.16,90.0,bottom
R6,204.805,-84.225,0.0,bottom
R7,120.23,-115.26,90.0,bottom
R8,187.975,-114.635,90.0,bottom
R9,136.79,-84.195,0.0,bottom
U1,113.2975,-77.55,90.0,bottom
U2,123.5575,-80.421249,0.0,bottom
U3,113.449,-85.4385,270.0,bottom
